,no_overall,season,no_in_season,episode_name,viewers (millions),IMDB rating,year,month,day
400,401,19,1,He Loves to Fly and He D'ohs,9.7,6.6,2007,09,23
401,402,19,2,The Homer of Seville,8.4,6.5,2007,09,30
402,403,19,3,Midnight Towboy,7.7,7.1,2007,10,07
403,404,19,4,I Don't Wanna Know Why the Caged Bird Sings,8.8,6.7,2007,10,14
404,405,19,5,Treehouse of Horror XVIII,11.7,6.9,2007,11,04
405,406,19,6,Little Orphan Millie,10.57,6.5,2007,11,11
406,407,19,7,Husbands and Knives,10.5,6.9,2007,11,18
407,408,19,8,Funeral for a Fiend,9.0,7.1,2007,11,25
408,409,19,9,Eternal Moonshine of the Simpson Mind,10.15,8.1,2007,12,16
409,410,19,10,E Pluribus Wiggum,8.2,6.8,2008,01,06
410,411,19,11,That '90s Show,7.6,6.1,2008,01,27
411,412,19,12,"Love, Springfieldian Style",7.81,6.5,2008,02,17
412,413,19,13,The Debarted,8.18,7.6,2008,03,02
413,414,19,14,"Dial ""N"" for Nerder",7.3,7.3,2008,03,09
414,415,19,15,Smoke on the Daughter,7.1,6.6,2008,03,30
415,416,19,16,Papa Don't Leech,6.9,5.9,2008,04,13
416,417,19,17,Apocalypse Cow,7.69,6.7,2008,04,27
417,418,19,18,Any Given Sundance,6.18,6.9,2008,05,04
418,419,19,19,Mona Leaves-a,6.02,6.9,2008,05,11
419,420,19,20,All About Lisa,6.11,6.3,2008,05,18
420,421,20,1,"Sex, Pies and Idiot Scrapes",9.3,7.2,2008,09,28
421,422,20,2,Lost Verizon,7.43,6.9,2008,10,05
422,423,20,3,"Double, Double, Boy in Trouble",8.09,6.8,2008,10,19
423,424,20,4,Treehouse of Horror XIX,12.48,7.0,2008,11,02
424,425,20,5,Dangerous Curves,8.16,6.5,2008,11,09
425,426,20,6,Homer and Lisa Exchange Cross Words,8.52,7.0,2008,11,16
426,427,20,7,MyPods and Boomsticks,7.8,7.0,2008,11,30
427,428,20,8,The Burns and the Bees,6.19,6.5,2008,12,07
428,429,20,9,Lisa the Drama Queen,5.75,5.8,2009,01,25
429,430,20,10,"Take My Life, Please",6.82,6.9,2009,02,15
430,431,20,11,How the Test Was Won,6.52,6.9,2009,03,01
431,432,20,12,"No Loan Again, Naturally",5.99,6.7,2009,03,08
432,433,20,13,Gone Maggie Gone,5.99,7.1,2009,03,15
433,434,20,14,In the Name of the Grandfather,6.15,6.2,2009,03,22[a]
434,435,20,15,Wedding for Disaster,6.58,6.6,2009,03,29
435,436,20,16,Eeny Teeny Maya Moe,6.5,7.1,2009,04,05
436,437,20,17,"The Good, the Sad and the Drugly",6.5,7.1,2009,04,19
437,438,20,18,Father Knows Worst,5.94,6.9,2009,04,26
438,439,20,19,"Waverly Hills, 9-0-2-1-D'oh",6.75,7.0,2009,05,03
439,440,20,20,Four Great Women and a Manicure,5.16,6.3,2009,05,10
440,441,20,21,Coming to Homerica,5.86,7.2,2009,05,17
441,442,21,1,Homer the Whopper,8.31,7.0,2009,09,27
442,443,21,2,Bart Gets a 'Z',9.32,6.5,2009,10,04
443,444,21,3,The Great Wife Hope,7.5,6.1,2009,10,11
444,445,21,4,Treehouse of Horror XX,8.59,7.3,2009,10,18
445,446,21,5,The Devil Wears Nada,9.04,6.6,2009,11,15
446,447,21,6,Pranks and Greens,7.03,6.6,2009,11,22
447,448,21,7,Rednecks and Broomsticks,9.02,6.7,2009,11,29
448,449,21,8,"O Brother, Where Bart Thou?",7.11,7.1,2009,12,13
449,450,21,9,Thursdays with Abie,8.65,6.6,2010,01,03
450,451,21,10,Once Upon a Time in Springfield,14.62,6.4,2010,01,10
451,452,21,11,Million Dollar Maybe,5.11,7.0,2010,01,31
452,453,21,12,Boy Meets Curl,5.87,6.7,2010,02,14
453,454,21,13,The Color Yellow,6.08,6.3,2010,02,21
454,455,21,14,Postcards from the Wedge,5.23,6.9,2010,03,14
455,456,21,15,Stealing First Base,5.69,6.9,2010,03,21
456,457,21,16,The Greatest Story Ever D'ohed,5.69,5.6,2010,03,28
457,458,21,17,American History X-cellent,5.65,6.5,2010,04,11
458,459,21,18,Chief of Hearts,5.93,6.8,2010,04,18
459,460,21,19,The Squirt and the Whale,5.94,6.8,2010,04,25
460,461,21,20,To Surveil with Love,6.06,7.0,2010,05,02
461,462,21,21,Moe Letter Blues,5.66,6.8,2010,05,09
462,463,21,22,The Bob Next Door,6.26,7.2,2010,05,16
463,464,21,23,Judge Me Tender,5.74,6.4,2010,05,23
464,465,22,1,Elementary School Musical,7.75,6.0,2010,09,26
465,466,22,2,Loan-a Lisa,8.59,6.7,2010,10,03
466,467,22,3,MoneyBart,6.72,6.6,2010,10,10
467,468,22,4,Treehouse of Horror XXI,8.19,7.0,2010,11,07
468,469,22,5,"Lisa Simpson, This Isn't Your Life",8.97,7.1,2010,11,14
469,470,22,6,The Fool Monty,6.58,6.3,2010,11,21
470,471,22,7,How Munched Is That Birdie in the Window?,9.38,6.2,2010,11,28
471,472,22,8,The Fight Before Christmas,9.54,6.7,2010,12,05
472,473,22,9,Donnie Fatso,7.18,6.9,2010,12,12
473,474,22,10,Moms I'd Like to Forget,12.6,6.1,2011,01,09
474,475,22,11,Flaming Moe,6.47,6.6,2011,01,16
475,476,22,12,Homer the Father,6.5,6.8,2011,01,23
476,477,22,13,The Blue and the Gray,5.61,6.7,2011,02,13
477,478,22,14,Angry Dad: The Movie,6.35,7.1,2011,02,20
478,479,22,15,The Scorpion's Tale,6.2,6.6,2011,03,06
479,480,22,16,A Midsummer's Nice Dream,5.44,5.9,2011,03,13
480,481,22,17,Love Is a Many Strangled Thing,6.14,6.1,2011,03,27
481,482,22,18,The Great Simpsina,5.0,6.8,2011,04,10
482,483,22,19,The Real Housewives of Fat Tony,6.1,6.4,2011,05,01
483,484,22,20,Homer Scissorhands,5.48,7.0,2011,05,08
484,485,22,21,500 Keys,6.0,7.1,2011,05,15
485,486,22,22,The Ned-Liest Catch,5.25,6.8,2011,05,22
486,487,23,1,The Falcon and the D'ohman,8.08,7.0,2011,09,25
487,488,23,2,Bart Stops to Smell the Roosevelts,6.19,7.0,2011,10,02
488,489,23,3,Treehouse of Horror XXII,8.1,6.4,2011,10,30
489,490,23,4,Replaceable You,7.97,6.4,2011,11,06
490,491,23,5,The Food Wife,7.5,7.0,2011,11,13
491,492,23,6,The Book Job,5.77,7.8,2011,11,20
492,493,23,7,The Man in the Blue Flannel Pants,5.61,6.6,2011,11,27
493,494,23,8,The Ten-Per-Cent Solution,9.01,6.0,2011,12,04
494,495,23,9,Holidays of Future Passed,6.43,8.2,2011,12,11
495,496,23,10,"Politically Inept, with Homer Simpson",5.07,5.9,2012,01,08
496,497,23,11,The D'oh-cial Network,11.48,6.9,2012,01,15
497,498,23,12,Moe Goes from Rags to Riches,5.12,5.5,2012,01,29
498,499,23,13,The Daughter Also Rises,4.26,6.2,2012,02,12
499,500,23,14,At Long Last Leave,5.77,6.9,2012,02,19
500,501,23,15,Exit Through the Kwik-E-Mart,5.09,6.8,2012,03,04
501,502,23,16,How I Wet Your Mother,4.97,7.2,2012,03,11
502,503,23,17,"Them, Robot",5.25,6.9,2012,03,18
503,504,23,18,Beware My Cheating Bart,4.86,7.0,2012,04,15
504,505,23,19,A Totally Fun Thing That Bart Will Never Do Again,5.0,7.5,2012,04,29
505,506,23,20,The Spy Who Learned Me,4.84,6.7,2012,05,06
506,507,23,21,Ned 'n' Edna's Blend Agenda,4.07,6.5,2012,05,13
507,508,23,22,Lisa Goes Gaga,4.82,3.9,2012,05,20
508,509,24,1,Moonshine River,8.08,6.3,2012,09,30
509,510,24,2,Treehouse of Horror XXIII,6.57,7.2,2012,10,07
510,511,24,3,Adventures in Baby-Getting,5.65,6.7,2012,11,04
511,512,24,4,Gone Abie Gone,6.86,6.6,2012,11,11
512,513,24,5,Penny-Wiseguys,5.06,6.1,2012,11,18
513,514,24,6,A Tree Grows in Springfield,7.46,6.2,2012,11,25
514,515,24,7,The Day the Earth Stood Cool,7.44,6.9,2012,12,09
515,516,24,8,To Cur with Love,3.77,7.1,2012,12,16
516,517,24,9,Homer Goes to Prep School,8.97,6.6,2013,01,06
517,518,24,10,A Test Before Trying,5.04,6.9,2013,01,13
518,519,24,11,The Changing of the Guardian,5.23,6.3,2013,01,27
519,520,24,12,Love Is a Many-Splintered Thing,4.19,6.1,2013,02,10
520,521,24,13,Hardly Kirk-ing,4.57,6.9,2013,02,17
521,522,24,14,Gorgeous Grampa,4.66,6.0,2013,03,03
522,523,24,15,"Black Eyed, Please",4.85,6.8,2013,03,10
523,524,24,16,Dark Knight Court,4.89,6.9,2013,03,17
524,525,24,17,What Animated Women Want,4.11,6.3,2013,04,14
525,526,24,18,Pulpit Friction,4.54,6.3,2013,04,28
526,527,24,19,Whiskey Business,4.43,6.6,2013,05,05
527,528,24,20,The Fabulous Faker Boy,4.16,6.1,2013,05,12
528,529,24,21,The Saga of Carl,4.01,6.9,2013,05,19
529,530,24,22,Dangers on a Train,4.52,6.7,2013,05,19
530,531,25,1,Homerland,6.37,6.8,2013,09,29
531,532,25,2,Treehouse of Horror XXIV,6.42,6.9,2013,10,06
532,533,25,3,Four Regrettings and a Funeral,5.43,6.3,2013,11,03
533,534,25,4,YOLO,4.2,6.4,2013,11,10
534,535,25,5,Labor Pains,4.08,6.8,2013,11,17
535,536,25,6,The Kid Is All Right,6.78,6.3,2013,11,24
536,537,25,7,Yellow Subterfuge,6.85,6.8,2013,12,08
537,538,25,8,White Christmas Blues,8.48,6.3,2013,12,15
538,539,25,9,Steal This Episode,12.04,7.6,2014,01,05
539,540,25,10,Married to the Blob,4.83,6.9,2014,01,12
540,541,25,11,Specs and the City,3.87,7.0,2014,01,26
541,542,25,12,Diggs,2.69,6.2,2014,03,09
542,543,25,13,The Man Who Grew Too Much,3.75,6.5,2014,03,09
543,544,25,14,The Winter of His Content,4.02,6.5,2014,03,16
544,545,25,15,The War of Art,3.98,6.8,2014,03,23
545,546,25,16,You Don't Have to Live Like a Referee,3.91,6.7,2014,03,30
546,547,25,17,Luca$,4.3,6.3,2014,04,06
547,548,25,18,Days of Future Future,3.64,6.8,2014,04,13
548,549,25,19,What to Expect When Bart's Expecting,3.45,5.6,2014,04,27
549,550,25,20,Brick Like Me,4.39,7.8,2014,05,04
550,551,25,21,Pay Pal,3.66,6.5,2014,05,11
551,552,25,22,The Yellow Badge of Cowardge,3.28,6.5,2014,05,18
552,553,26,1,Clown in the Dumps,8.53,5.6,2014,09,28
553,554,26,2,The Wreck of the Relationship,4.27,6.8,2014,10,05
554,555,26,3,Super Franchise Me,7.33,6.3,2014,10,12
555,556,26,4,Treehouse of Horror XXV,7.76,7.4,2014,10,19
556,557,26,5,Opposites A-Frack,4.22,6.1,2014,11,02
557,558,26,6,Simpsorama,6.7,7.9,2014,11,09
558,559,26,7,Blazed and Confused,6.7,6.8,2014,11,16
559,560,26,8,Covercraft,3.45,6.3,2014,11,23
560,561,26,9,I Won't Be Home for Christmas,6.52,6.6,2014,12,07
561,562,26,10,The Man Who Came to Be Dinner,10.62,6.6,2015,01,04
562,563,26,11,Bart's New Friend,4.28,7.1,2015,01,11
563,564,26,12,The Musk Who Fell to Earth,3.29,5.6,2015,01,25
564,565,26,13,Walking Big & Tall,2.78,6.1,2015,02,08
565,566,26,14,My Fare Lady,2.67,6.5,2015,02,15
566,567,26,15,The Princess Guide,3.93,6.4,2015,03,01
567,568,26,16,Sky Police,3.79,6.6,2015,03,08
568,569,26,17,Waiting for Duffman,3.59,6.5,2015,03,15
569,570,26,18,Peeping Mom,3.23,6.5,2015,04,19
570,571,26,19,The Kids Are All Fight,3.33,6.7,2015,04,26
571,572,26,20,Let's Go Fly a Coot,3.12,5.9,2015,05,03
572,573,26,21,Bull-E,2.77,6.5,2015,05,10
573,574,26,22,Mathlete's Feat,2.82,6.7,2015,05,17
574,575,27,1,Every Man's Dream,3.28,5.5,2015,09,27
575,576,27,2,Cue Detective,6.02,6.6,2015,10,04
576,577,27,3,Puffless,3.31,7.0,2015,10,11
577,578,27,4,Halloween of Horror,3.69,7.5,2015,10,18
578,579,27,5,Treehouse of Horror XXVI,6.75,6.6,2015,10,25
579,580,27,6,Friend with Benefit,3.48,6.6,2015,11,08
580,581,27,7,Lisa with an 'S',5.64,5.9,2015,11,22
581,582,27,8,Paths of Glory,5.53,6.8,2015,12,06
582,583,27,9,Barthood,5.97,8.4,2015,12,13
583,584,27,10,The Girl Code,4.41,6.5,2016,01,03
584,585,27,11,Teenage Mutant Milk-Caused Hurdles,8.33,6.6,2016,01,10
585,586,27,12,Much Apu About Something,3.95,6.6,2016,01,17
586,587,27,13,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,2.89,6.3,2016,02,14
587,588,27,14,Gal of Constant Sorrow,3.1,6.5,2016,02,21
588,589,27,15,Lisa the Veterinarian,3.09,6.3,2016,03,06
589,590,27,16,The Marge-ian Chronicles,3.07,7.0,2016,03,13
590,591,27,17,The Burns Cage,2.32,6.3,2016,04,03
591,592,27,18,How Lisa Got Her Marge Back,2.55,6.2,2016,04,10
592,593,27,19,Fland Canyon,2.77,7.1,2016,04,24
593,594,27,20,To Courier with Love,2.52,6.7,2016,05,08
594,595,27,21,Simprovised,2.8,6.2,2016,05,15
595,596,27,22,Orange Is the New Yellow,2.54,6.7,2016,05,22
596,597,28,1,Monty Burns' Fleeing Circus,3.36,6.0,2016,09,25
597,598,28,2,Friends and Family,6.0,6.5,2016,10,02
598,599,28,3,The Town,3.22,7.0,2016,10,09
599,600,28,4,Treehouse of Horror XXVII,7.44,6.9,2016,10,16
600,601,28,5,Trust but Clarify,3.36,6.3,2016,10,23
601,602,28,6,There Will Be Buds,3.14,6.7,2016,11,06
602,603,28,7,Havana Wild Weekend,7.13,6.1,2016,11,13
603,604,28,8,Dad Behavior,2.88,6.6,2016,11,20
604,605,28,9,The Last Traction Hero,5.77,6.3,2016,12,04
605,606,28,10,The Nightmare After Krustmas,5.6,5.9,2016,12,11
606,607,28,11,Pork and Burns,8.19,6.8,2017,01,08
607,610,28,14,Fatzcarraldo,2.4,6.3,2017,02,12
608,608,28,12,The Great Phatsby,6.9,6.2,2017,01,15
609,609,28,13,The Great Phatsby,6.9,6.2,2017,01,15
610,611,28,15,The Cad and the Hat,2.44,6.4,2017,02,19
611,612,28,16,Kamp Krustier,2.56,6.5,2017,03,05
612,613,28,17,22 for 30,2.61,6.5,2017,03,12
613,614,28,18,A Father's Watch,2.4,6.8,2017,03,19
614,615,28,19,The Caper Chase,2.13,6.1,2017,04,02
615,616,28,20,Looking for Mr. Goodbart,2.3,6.8,2017,04,30
616,617,28,21,Moho House,2.34,6.1,2017,05,07
617,618,28,22,Dogtown,2.15,6.4,2017,05,21
618,619,29,1,The Serfsons,3.26,6.7,2017,10,01
619,620,29,2,Springfield Splendor,5.25,6.5,2017,10,08
620,621,29,3,Whistler's Father,2.91,6.1,2017,10,15
621,622,29,4,Treehouse of Horror XXVIII,3.66,7.1,2017,10,22
622,623,29,5,Grampy Can Ya Hear Me,2.86,6.3,2017,11,05
623,624,29,6,The Old Blue Mayor She Ain't What She Used to Be,4.75,6.3,2017,11,12
624,625,29,7,Singin' in the Lane,2.67,6.3,2017,11,19
625,626,29,8,Mr. Lisa's Opus,4.28,6.8,2017,12,03
626,627,29,9,Gone Boy,6.06,7.3,2017,12,10
627,628,29,10,Haw-Haw Land,6.95,6.5,2018,01,07
628,629,29,11,Frink Gets Testy,8.04,6.1,2018,01,14
629,630,29,12,Homer Is Where the Art Isn't,2.1,6.6,2018,03,18
630,631,29,13,3 Scenes Plus a Tag from a Marriage,2.15,6.6,2018,03,25
631,632,29,14,Fears of a Clown,2.06,6.1,2018,04,01
632,633,29,15,No Good Read Goes Unpunished,2.15,6.4,2018,04,08
633,634,29,16,King Leer,2.26,6.3,2018,04,15
634,635,29,17,Lisa Gets the Blues,2.19,6.8,2018,04,22
635,636,29,18,Forgive and Regret,2.47,7.0,2018,04,29
636,637,29,19,Left Behind,2.15,6.7,2018,05,06
637,638,29,20,Throw Grampa from the Dane,2.14,6.7,2018,05,13
638,639,29,21,Flanders' Ladder,2.1,7.6,2018,05,20
639,640,30,1,Bart's Not Dead,3.24,6.2,2018,09,30
640,641,30,2,Heartbreak Hotel,4.6,6.0,2018,10,07
641,642,30,3,My Way or the Highway to Heaven,2.52,6.1,2018,10,14
642,643,30,4,Treehouse of Horror XXIX,2.95,5.9,2018,10,21
643,644,30,5,Baby You Can't Drive My Car,5.08,7.0,2018,11,04
644,645,30,6,From Russia Without Love,2.35,6.5,2018,11,11
645,646,30,7,Werking Mom,4.34,5.6,2018,11,18
646,647,30,8,Krusty the Clown,2.11,6.4,2018,11,25
647,648,30,9,Daddicus Finch,4.33,6.7,2018,12,02
648,649,30,10,'Tis the 30th Season,7.53,6.7,2018,12,09
649,650,30,11,Mad About the Toy,2.33,5.4,2019,01,06
650,651,30,12,The Girl on the Bus,8.2,6.2,2019,01,13
651,652,30,13,I'm Dancing as Fat as I Can,1.75,6.8,2019,02,10
652,653,30,14,The Clown Stays in the Picture,2.75,6.1,2019,02,17
653,654,30,15,101 Mitigations,2.25,6.3,2019,03,03
654,655,30,16,I Want You (She's So Heavy),2.21,5.7,2019,03,10
655,656,30,17,E My Sports,2.08,6.2,2019,03,17
656,657,30,18,Bart vs. Itchy & Scratchy,1.99,4.6,2019,03,24
657,658,30,19,Girl's in the Band,2.07,6.1,2019,03,31
658,659,30,20,I'm Just a Girl Who Can't Say D'oh,1.61,5.2,2019,04,07
659,660,30,21,D'oh Canada,1.93,5.2,2019,04,28
660,661,30,22,Woo-Hoo Dunnit?,1.79,5.9,2019,05,05
661,662,30,23,Crystal Blue-Haired Persuasion,1.5,5.8,2019,05,12
